depth,model_age,co2
102.26470588235294,2521.470588235294,280.4
106.20689655172414,2651.8275862068967,274.9
106.58620689655173,2664.344827586207,277.9
109.70731707317073,2764.9268292682927,279.1
109.92682926829268,2771.731707317073,281.9
112.15151515151516,2838.3939393939395,277.7
114.88888888888889,2923.3333333333335,281.1
118.34285714285714,3036.3142857142857,282.2
120.51219512195122,3105.3658536585367,280.1
124.64102564102564,3243.7948717948716,278.4
126.74418604651163,3314.3023255813955,276.6
130.08333333333334,3425.6666666666665,279.1
133.09677419354838,3522.1935483870966,277.7
135.34615384615384,3594.730769230769,278.7
139.0731707317073,3712.1951219512193,277.4
142.5,3824.5,279.2
145.3793103448276,3922.2758620689656,280.0
148.02173913043478,4014.739130434783,278.9
150.5897435897436,4102.641025641025,278.7
152.6769230769231,4177.692307692308,278.0
156.02777777777777,4291.944444444444,276.9
159.35714285714286,4404.428571428572,276.7
161.875,4493.375,276.7
163.96428571428572,4566.785714285715,277.6
167.3409090909091,4687.613636363636,277.9
169.84782608695653,4778.521739130435,273.9
172.625,4873.25,278.9
174.7941176470588,4950.382352941177,275.3
178.14634146341464,5070.829268292683,274.7
180.88,5166.44,276.3
183.21875,5250.875,274.6
187.75,5417.25,276.3
189.17857142857142,5471.25,273.1
191.88571428571427,5565.885714285714,274.0
194.83333333333334,5670.5,275.0
198.35294117647058,5794.35294117647,273.4
200.7741935483871,5884.193548387097,273.0
203.35294117647058,5979.058823529412,271.5
205.8048780487805,6067.170731707317,275.4
207.8,6138.6,274.9
211.20454545454547,6263.772727272727,271.7
213.57692307692307,6353.923076923077,271.6
215.95238095238096,6441.238095238095,272.8
217.84848484848484,6511.393939393939,271.5
222.25806451612902,6682.064516129032,271.1
223.75,6741.0,269.1
226.12121212121212,6827.363636363636,269.8
228.7872340425532,6927.702127659574,271.5
232.47826086956522,7070.608695652174,270.7
234.11428571428573,7138.571428571428,269.3
236.78571428571428,7244.642857142857,268.6
240.5909090909091,7395.636363636364,269.8
242.73076923076923,7480.5,267.6
244.15625,7531.3125,265.3
247.56410256410257,7659.4358974358975,265.2
249.88636363636363,7744.909090909091,267.6
252.9787234042553,7865.170212765957,265.9
255.5,7961.5,265.5
258.29411764705884,8071.764705882353,260.7
260.1388888888889,8145.972222222223,266.7
263.5,8284.5,265.5
267.4318181818182,8439.84090909091,263.2
268.69565217391306,8489.826086956522,262.7
270.90909090909093,8575.636363636364,261.2
274.45,8710.55,261.1
277.0,8810.0,259.4
278.9047619047619,8886.285714285714,262.1
281.65,8991.7,262.9
283.4634146341463,9060.609756097561,258.1
286.2682926829268,9170.268292682927,257.6
288.88709677419354,9274.822580645161,262.3
291.7857142857143,9383.857142857143,263.0
293.8,9459.6,260.7
295.77142857142854,9530.0,258.4
298.93333333333334,9651.466666666667,260.1
301.06382978723406,9729.36170212766,260.4
303.3333333333333,9811.666666666666,259.7
306.1551724137931,9910.896551724138,259.2
308.0,9979.0,260.8
310.52941176470586,10072.058823529413,259.6
312.79245283018867,10155.11320754717,259.3
315.3150684931507,10248.342465753425,258.3
317.8139534883721,10335.488372093023,261.3
319.5,10397.0,260.7
322.45714285714286,10506.457142857143,261.8
325.1132075471698,10607.188679245282,259.0
327.45454545454544,10691.363636363636,260.9
329.8888888888889,10779.888888888889,260.4
332.40384615384613,10876.942307692309,259.3
334.63157894736844,10962.894736842105,262.0
337.5833333333333,11080.166666666666,263.7
339.7291666666667,11164.4375,263.8
342.3658536585366,11267.90243902439,265.2
345.5581395348837,11393.883720930233,260.6
346.7631578947368,11442.526315789473,260.9
348.77142857142854,11518.771428571428,263.0
351.15909090909093,11613.886363636364,263.8
356.94871794871796,11835.102564102564,264.4
359.0975609756098,11919.19512195122,264.2
362.1290322580645,12040.90322580645,264.0
364.7317073170732,12144.0,263.4
367.84615384615387,12276.23076923077,265.7
370.1923076923077,12382.846153846154,264.9
372.85714285714283,12500.714285714286,267.5
376.45454545454544,12673.818181818182,266.9
379.22222222222223,12805.0,266.0
382.44444444444446,12971.111111111111,265.1
385.6585365853659,13146.878048780487,267.6
388.2926829268293,13289.09756097561,264.8
391.57575757575756,13466.666666666666,264.8
392.94,13540.76,265.0
393.61290322580646,13576.483870967742,265.3
395.37254901960785,13671.372549019608,264.4
396.1714285714286,13712.742857142857,264.1
398.17857142857144,13812.92857142857,264.2
400.5135135135135,13934.72972972973,264.5
401.73809523809524,14000.857142857143,264.0
403.06666666666666,14067.266666666666,263.0
404.3181818181818,14129.863636363636,265.2
405.72972972972974,14207.594594594595,258.8
407.15909090909093,14286.431818181818,260.8
408.56666666666666,14361.033333333333,255.4
409.9117647058824,14434.14705882353,253.9
410.7894736842105,14482.421052631578,253.8
413.5357142857143,14620.32142857143,250.7
415.14285714285717,14704.142857142857,249.7
415.875,14740.75,251.1
417.40909090909093,14815.045454545454,250.7
419.7096774193548,14922.645161290322,245.3
422.2280701754386,15050.315789473685,245.3
423.85714285714283,15137.42857142857,246.6
426.13513513513516,15261.567567567568,243.2
428.0,15368.0,240.3
433.0769230769231,15636.153846153846,237.5
435.9310344827586,15795.137931034482,237.6
439.20754716981133,15982.45283018868,234.2
441.42424242424244,16114.60606060606,238.3
444.88235294117646,16317.058823529413,237.3
447.5769230769231,16478.615384615383,237.9
450.4901960784314,16660.882352941175,237.6
454.30434782608694,16913.08695652174,236.4
456.36619718309856,17052.535211267605,239.2
458.531914893617,17195.17021276596,238.6
461.6458333333333,17412.208333333332,238.6
464.8857142857143,17651.97142857143,239.1
471.84375,18190.5,228.5
476.97222222222223,18622.694444444445,228.4
480.5348837209302,18923.86046511628,226.1
484.2413793103448,19245.241379310344,225.2
486.53061224489795,19443.632653061224,224.5
490.6901408450704,19801.042253521126,222.0
494.6046511627907,20135.581395348836,221.0
497.4583333333333,20383.25,220.9
500.46031746031747,20651.126984126986,219.4
503.089552238806,20883.5223880597,214.0
506.3157894736842,21152.526315789473,207.5
509.46774193548384,21420.354838709674,207.7
512.7704918032787,21695.72131147541,202.9
516.0422535211268,21980.549295774646,200.8
519.2098765432099,22253.20987654321,195.2
523.0421052631579,22581.621052631577,193.9
526.4545454545455,22860.727272727272,191.0
529.015873015873,23085.428571428572,188.5
532.0722891566265,23349.072289156626,188.5
533.7916666666666,23495.083333333332,189.2
537.8202247191011,23853.1797752809,187.0
540.5945945945946,24082.756756756757,188.6
543.9222222222222,24370.466666666667,189.4
544.3586956521739,24406.41304347826,192.3
544.9347826086956,24453.652173913044,188.3
550.0,24889.0,188.7
551.6213592233009,25032.436893203885,188.8
554.3846153846154,25274.46153846154,190.0
557.1931818181819,25518.579545454544,188.0
559.1530612244898,25696.469387755104,188.2
559.4489795918367,25722.51020408163,195.0
562.7411764705882,26010.482352941177,187.8
565.6043956043956,26275.395604395606,186.9
568.5487804878048,26533.19512195122,186.5
571.3589743589744,26783.871794871793,184.7
574.3037974683544,27042.73417721519,186.1
578.3516483516484,27400.351648351647,185.7
580.0540540540541,27552.81081081081,184.4
589.22,28337.6,189.2
624.4642857142857,31292.60714285714,191.6
659.1650485436893,34193.34951456311,188.5
670.4368932038835,35114.95145631068,191.7
727.6914893617021,39668.39361702128,205.3
757.8032786885246,42352.27868852459,209.1
825.0769230769231,47763.61538461538,209.1
872.7777777777778,51647.333333333336,189.3
889.8241758241758,52941.63736263736,188.4
899.5882352941177,53745.05882352941,210.1
911.4494382022472,54765.651685393255,215.7
933.5764705882353,56546.388235294115,190.4
991.04,61453.24,221.7
998.1927710843373,62160.12048192771,210.4
1053.5272727272727,67969.61818181818,195.3
1072.0086206896551,69617.80172413793,191.4
1081.0166666666667,70507.68333333333,194.9
1131.0657894736842,75019.98684210527,227.3
1155.9122807017543,77250.63157894737,229.1
1196.6931818181818,80562.375,217.1
1208.3333333333333,81446.66666666667,221.7
1238.3783783783783,83996.08108108108,230.9
1261.0481927710844,86288.6265060241,241.1
1271.3958333333333,87281.02083333333,236.4
1278.6989247311828,87991.68817204301,228.0
1287.7954545454545,88926.75,214.2
1298.7184466019417,90018.09708737864,217.0
1316.1632653061224,91720.51020408163,208.0
1339.646017699115,93946.66371681416,224.2
1348.326923076923,94796.07692307692,228.3
1380.0729166666667,97878.0,232.0
1435.6923076923076,103652.23076923077,225.8
1444.96261682243,104716.66355140187,230.8
1453.3214285714287,105702.57142857143,236.9
1468.3675213675215,107515.0,228.1
1478.7672413793102,108719.0,236.9
1486.312,109590.192,230.6
1501.5107913669065,111209.12230215827,238.2
1506.142857142857,111663.14285714286,245.6
1519.5365853658536,112932.90243902439,251.2
1538.4128440366972,114553.02752293578,256.7
1552.0816326530612,115680.95918367348,266.3
1561.358695652174,116414.13043478261,261.4
1567.020618556701,116877.60824742269,274.5
1572.876404494382,117348.23595505618,273.2
1589.3139534883721,118641.48837209302,262.5
1604.280487804878,119781.87804878049,267.6
1615.3506493506493,120641.4025974026,273.7
1628.1875,121627.375,271.9
1637.2987012987012,122336.1948051948,265.2
1645.2692307692307,122981.80769230769,277.6
1662.1460674157304,124366.10112359551,272.1
1670.8735632183907,125025.2643678161,276.4
1683.987012987013,125946.14285714286,268.7
1684.5180722891566,125981.7108433735,266.6
1691.1666666666667,126404.33333333333,266.3
1694.9868421052631,126651.13157894737,279.7
1697.3835616438357,126812.46575342465,273.0
1699.7205882352941,126969.11764705883,277.1
1713.9655172413793,127964.5172413793,273.7
1717.8636363636363,128257.63636363637,267.1
1722.3934426229507,128624.04918032789,262.5
1726.089552238806,128941.70149253731,262.6
1733.5625,129606.0,275.3
1737.8028169014085,130033.2957746479,275.6
1743.8076923076922,130677.26923076923,274.0
1744.1733333333332,130718.93333333332,287.1
1747.3214285714287,131102.4642857143,286.8
1750.4456521739132,131506.48913043478,282.6
1753.8444444444444,131947.3111111111,264.1
1756.2696629213483,132281.0224719101,263.4
1759.802197802198,132800.53846153847,257.9
1760.6947368421054,132940.07368421054,259.0
1775.4260869565217,135572.4,245.0
1776.495867768595,135771.71900826445,240.4
1778.671755725191,136180.9465648855,228.9
1784.4041095890411,137283.65068493152,223.5
1788.0235294117647,138011.7294117647,223.9
1788.235294117647,138054.29411764705,220.3
1790.0558659217877,138417.94972067038,210.6
1793.9772727272727,139171.61363636365,208.9
1794.8791208791208,139351.82417582418,203.7
1798.4497354497355,140061.74603174604,204.5
1799.2604166666667,140225.30208333334,200.4
1799.7447916666667,140320.72395833334,198.0
1801.8941798941798,140739.25925925927,198.0
1803.3384615384616,141015.63076923077,201.7
1803.9948717948719,141139.0358974359,200.7
1805.3050847457628,141384.88135593222,202.4
1806.9554455445545,141704.35643564357,195.8
1807.3657407407406,141780.66203703705,201.1
1810.48623853211,142378.81651376147,194.3
1812.05291005291,142673.84126984127,193.4
1813.8629441624366,143016.54822335026,194.2
1814.8669950738915,143213.79802955664,190.2
1820.3225806451612,144265.90322580645,192.3
1821.9375,144573.3125,196.5
1828.4255319148936,145759.82978723405,195.6
1828.75,145823.75,196.4
1834.3383838383838,146871.29292929292,190.4
1851.4064171122996,149964.5614973262,196.9
1869.9946524064171,153602.88770053475,203.0
1875.4224598930482,154751.0267379679,191.9
1876.0549450549452,154881.26373626373,188.9
1884.0193236714977,156527.8647342995,200.6
1898.1900452488687,159156.00904977377,189.0
1902.3139013452915,159966.89686098654,185.5
1904.228971962617,160334.27570093458,187.5
1923.658163265306,164321.89795918367,204.3
1925.5939086294416,164719.96954314722,196.5
1934.337899543379,166391.18721461188,191.6
1936.8333333333333,166858.66666666666,190.1
1940.4144144144145,167543.88288288287,186.7
1943.461187214612,168169.3105022831,183.8
1946.8809523809523,168886.11904761905,196.6
1961.1330049261085,171816.26108374386,197.8
1971.9317073170732,174164.11219512194,197.7
1981.1300448430493,176204.2600896861,196.0
1986.0222222222221,177335.3111111111,190.3
1989.136563876652,178072.4537444934,189.4
1990.2903225806451,178328.0,190.1
1998.9686098654709,180391.96412556054,207.7
2006.7666666666667,182299.36666666667,213.2
2011.142857142857,183384.7142857143,217.7
2015.0564516129032,184296.20967741936,198.1
2018.7434944237918,185132.33828996282,199.7
2026.1906614785992,186545.45914396888,203.4
2036.6302521008404,188551.98319327732,210.7
2047.1352941176472,190649.32941176472,231.3
2055.675675675676,192459.16216216216,231.4
2058.5668202764978,193027.12903225806,220.3
2064.9589743589745,194190.4923076923,218.0
2076.361809045226,196073.08040201006,226.5
2079.279792746114,196525.36787564767,220.0
2087.4853801169593,197809.1754385965,226.4
2091.447204968944,198452.34161490682,241.2
2094.616352201258,198978.1635220126,242.6
2112.0243902439024,202361.9512195122,250.9
2117.292079207921,203433.3712871287,239.1
2123.2165898617513,204528.20276497694,247.6
2129.0045871559632,205575.82110091744,244.4
2131.1090047393363,205952.40284360189,231.9
2133.257575757576,206332.33333333334,232.2
2135.9315789473685,206794.36842105264,228.6
2139.3882978723404,207396.1170212766,226.3
2141.6439790575914,207793.05235602095,229.4
2144.0425531914893,208205.1489361702,231.4
2147.211111111111,208730.83333333334,238.1
2148.277777777778,208907.38888888888,237.2
2151.9944444444445,209533.07777777777,230.0
2153.707182320442,209816.39226519337,240.5
2156.022099447514,210207.73480662983,242.2
2158.965317919075,210704.1387283237,244.6
2160.090361445783,210897.90361445784,243.9
2163.35838150289,211474.71676300577,247.2
2164.4821428571427,211672.3392857143,252.0
2167.1011904761904,212148.61904761905,246.9
2169.3779069767443,212565.4011627907,239.5
2171.3567251461986,212922.2105263158,257.4
2175.1348314606744,213575.65168539327,243.4
2180.9358288770054,214557.89839572192,251.2
2185.6067415730336,215420.88764044945,241.4
2188.859756097561,216073.68902439025,240.3
2190.4876543209875,216417.87037037036,242.6
2193.277777777778,217023.94444444444,247.5
2196.122807017544,217659.38596491228,251.7
2198.050279329609,218093.56424581006,251.1
2201.3174603174602,218884.26984126985,245.3
2206.2010050251256,220202.10050251256,240.5
2215.477732793522,223045.3967611336,214.1
2218.4411764705883,223968.79411764705,216.1
2221.740983606557,224903.84262295082,207.1
2223.9455782312925,225461.3401360544,208.8
2228.1420118343194,226562.4674556213,205.6
2234.941368078176,228569.63843648208,203.3
2237.5210084033615,229292.2605042017,215.7
2241.338403041825,230424.42965779468,235.5
2244.0395136778116,231177.2218844985,234.5
2245.0,231450.0,233.1
2247.2830188679245,232094.24528301886,224.5
2252.6676829268295,233499.25914634147,232.4
2255.8046357615895,234265.30794701987,233.9
2257.957095709571,234776.87458745873,241.6
2271.831223628692,237816.55696202532,245.2
2274.76,238440.68,252.1
2277.5782608695654,239037.2304347826,241.4
2280.3257918552035,239578.5520361991,247.4
2282.795652173913,240051.1739130435,243.1
2285.3693693693695,240527.74774774775,239.1
2288.3765690376567,241040.62761506275,245.6
2290.451923076923,241364.59615384616,245.8
2292.7114427860697,241710.85074626867,247.4
2295.214285714286,242097.5,252.8
2300.6319018404906,242985.89570552149,259.7
2303.4113475177305,243445.75177304965,263.2
2307.7974683544303,244280.48101265822,279.0
2309.9872611464966,244745.2356687898,280.2
2314.766666666667,245884.56666666668,263.7
2317.1403508771928,246554.22807017545,252.3
2319.4950495049507,247270.54455445544,249.9
2321.9752475247524,247987.8712871287,236.7
2324.451612903226,248698.7741935484,230.4
2326.9871794871797,249465.03846153847,219.4
2334.828671328671,252104.1783216783,214.7
2342.808988764045,254836.05617977527,200.2
2345.4085714285716,255734.45142857142,213.9
2347.781914893617,256539.68617021278,195.4
2350.2357723577234,257342.56910569104,196.7
2352.7471264367814,258149.09195402297,195.4
2358.116991643454,259939.4791086351,199.0
2360.4314868804663,260735.6851311953,201.9
2362.867924528302,261555.03773584907,204.0
2367.6436781609195,263214.62068965513,203.9
2372.4927113702624,264759.13119533524,209.6
2374.157593123209,265309.7936962751,205.7
2377.3972602739727,266428.6438356164,208.9
2379.8664596273293,267308.72360248445,214.6
2384.8652037617553,269218.56426332286,228.1
2388.296511627907,270563.38372093026,199.9
2390.2118644067796,271348.71186440677,211.7
2393.229381443299,272612.02835051547,188.7
2395.105943152455,273396.7545219638,187.2
2397.5530303030305,274400.9772727273,194.2
2400.2004830917876,275476.190821256,198.8
2402.662037037037,276473.4212962963,184.7
2405.0501193317423,277438.5966587112,190.4
2407.4242424242425,278397.2121212121,193.9
2409.807511737089,279361.77464788733,194.1
2412.2354430379746,280243.34683544305,198.4
2414.6038186157516,281101.41288782813,193.2
2417.0690476190475,281992.30476190476,202.2
2419.3970944309926,282819.5278450363,204.5
2421.722077922078,283653.56103896105,211.0
2424.3051771117166,284526.23433242505,215.3
2428.280323450135,285838.14285714284,223.7
2433.7638888888887,287558.3333333333,231.3
2438.392961876833,288976.60410557187,228.0
2440.612612612613,289646.4324324324,226.4
2443.4254658385094,290441.6614906832,231.4
2445.0131578947367,290920.2894736842,230.4
2447.243670886076,291661.36075949366,231.0
2453.7927272727275,294070.61454545456,234.9
2455.767515923567,294854.7738853503,220.4
2457.657060518732,295573.82708933717,217.1
2460.635097493036,296631.7158774373,207.6
2462.3660933660935,297304.6339066339,206.0
2464.15421686747,298028.378313253,206.7
2466.039800995025,298768.44278606965,212.7
2469.6446280991736,300130.8429752066,213.1
2474.7039627039626,302086.1771561772,217.1
2476.705596107056,302853.71532846714,224.4
2478.8962025316455,303666.0101265823,231.0
2481.1654501216544,304501.5547445255,236.1
2483.3199105145413,305274.00894854584,239.0
2485.406947890819,306020.19851116627,236.0
2487.9068493150685,307015.597260274,240.2
2490.594666666667,308173.73333333334,240.7
2492.4479768786127,308933.84682080924,250.2
2494.6546961325967,309838.59116022097,248.6
2496.922891566265,310772.8481927711,244.8
2499.047085201794,311612.45739910315,225.8
2501.956416464891,312739.2639225182,227.8
2503.461711711712,313296.2162162162,226.2
2505.2271662763465,313913.78220140515,233.2
2507.2433090024333,314592.7518248175,237.8
2509.3216957605987,315285.8029925187,239.0
2511.3291770573564,315951.66583541146,241.9
2513.2719298245615,316552.48245614034,251.6
2515.413994169096,317240.03206997085,256.7
2517.5548961424333,317961.9940652819,257.1
2519.693251533742,318729.88957055216,246.8
2521.726072607261,319513.71617161715,272.6
2523.9725609756097,320376.5457317073,251.6
2526.4666666666667,321276.8,245.2
2528.7260981912145,322064.77777777775,233.4
2531.0,322819.0,255.8
2533.1937984496126,323507.3023255814,249.2
2537.667605633803,324815.5943661972,257.2
2539.879518072289,325432.265060241,260.4
2542.21835443038,326081.1740506329,260.3
2544.683673469388,326736.4387755102,260.5
2547.106007067138,327369.9858657244,266.2
2549.744680851064,328069.08510638296,264.0
2551.907063197026,328634.0223048327,266.1
2554.3777777777777,329275.6,270.1
2556.6853932584268,329867.8314606742,271.9
2559.0114503816794,330463.85114503815,275.1
2563.7846153846153,331668.8615384615,265.0
2566.6108949416343,332399.2217898833,271.7
2568.689516129032,332915.8629032258,272.6
2571.32962962963,333526.2,273.1
2573.2107142857144,333929.4607142857,282.4
2574.4379562043796,334183.5912408759,289.1
2575.0891472868216,334313.47286821704,288.4
2576.8671875,334659.3671875,298.6
2578.7922077922076,335023.3506493507,278.1
2581.157894736842,335486.5263157895,285.8
2583.020725388601,335877.55958549224,278.6
2585.6424581005585,336468.9776536313,270.5
2588.648936170213,337253.05319148937,255.7
2591.855769230769,338236.41346153844,241.9
2595.5,339474.0,239.6
2598.0655172413794,340513.7448275862,234.2
2604.2742382271467,343862.8808864266,250.1
2607.2171945701357,345545.628959276,200.7
2609.9557195571956,347105.40590405907,205.2
2612.4,348456.0,204.8
2614.3458401305056,349501.7618270799,211.9
2616.965694682676,350797.32761578046,220.3
2621.0088339222616,352860.7261484099,221.1
2623.5975359342915,354251.0472279261,216.2
2626.138276553106,355689.4128256513,209.4
2628.787356321839,357273.4770114943,209.2
2634.2508361204013,360515.48829431436,193.0
2636.8564437194127,362026.5986949429,186.1
2639.7449139280125,363606.05946791865,185.8
2643.466448445172,365595.94599018,201.2
2647.7055555555557,367890.7055555555,206.3
2652.8835125448027,370682.3584229391,201.9
2655.7896613190733,372095.7754010695,199.9
2658.528880866426,373399.9205776173,214.7
2661.7073170731705,375100.1707317073,224.6
2664.950431034483,376874.5797413793,229.6
2672.149819494585,380523.2653429603,227.0
2674.9,381765.6,240.0
2678.022633744856,383242.15843621397,239.1
2681.0487238979117,384696.7053364269,246.8
2684.3273092369477,386179.3795180723,245.8
2688.07867494824,388032.7432712215,258.1
2689.8895966029722,389036.94692144374,264.6
2691.5717539863326,389925.16856492026,259.2
2695.2122241086586,391735.95755517826,255.2
2698.489090909091,393207.88545454544,250.1
2702.2179226069247,394706.5152749491,266.3
2703.5593220338983,395231.77966101695,259.5
2705.88785046729,396096.84112149535,273.6
2708.292565947242,396987.4676258993,260.7
2717.3723958333335,400265.1041666667,276.3
2721.8292011019284,401771.80716253445,277.1
2724.0547550432275,402503.34293948126,283.2
2728.460843373494,403965.5391566265,283.1
2730.619469026549,404662.99115044245,275.7
2734.934131736527,406065.92215568863,276.5
2737.241791044776,406809.8567164179,280.5
2741.6543209876545,408263.5432098765,279.6
2743.904615384615,409023.56923076924,285.6
2748.467261904762,410630.95238095237,284.5
2750.777777777778,411487.3333333333,275.2
2750.777777777778,411487.3333333333,274.2
2753.1304347826085,412370.82608695654,282.6
2755.4666666666667,413263.73333333334,283.5
2760.4566929133857,415214.48031496065,274.9
2763.0,416223.0,264.9
2765.5822454308095,417281.6318537859,271.6
2767.5089514066494,418093.3043478261,276.4
2768.715365239295,418619.6221662469,271.7
2771.177615571776,419761.3673965937,273.4
2772.4052757793766,420346.5323741007,271.8
2773.684210526316,420949.4736842105,274.6
2775.8702127659576,421893.7489361702,273.7
2777.0435684647305,422407.8257261411,271.2
2778.1716101694915,422951.66313559323,273.8
2780.8056265984656,424385.1253196931,268.6
2782.285035629454,425320.26365795726,266.4
2783.612975391499,426239.40715883666,270.6
2785.9273084479373,428145.5952848723,267.7
2786.925087108014,429055.52961672476,268.3
2787.7660626029656,429805.0296540362,270.8
2788.406885758998,430370.6525821596,270.0
